,claim nr,claim,most sim ngram,most sim paragraph,predicted stance,actual stance
564,25194,climate change is a hoax          ,theres a key difference between,but theres a key difference between these two industries      ,agree,agree
565,25205,trump assures french president <unknown> you were my guy after saying before his election that,in an interview with the,in an interview with the associated press trump said he thought le pen was the,agree,agree
566,25206,trump assures french president <unknown> you were my guy after saying before his election that,that contrary to media reports,trump told <unknown> that contrary to media reports during the race he had not backed,agree,agree
567,25207,madonna pledges <unknown> sex for clinton voters        ,if you vote for <unknown>,if you vote for <unknown> clinton madonna told the crowd at madison square garden i,agree,agree
568,25208,madonna pledges <unknown> sex for clinton voters        ,perry arranged for her son,shes already taken her top off publicly associated with katy perry arranged for her son,agree,agree
569,25209,madonna pledges <unknown> sex for clinton voters        ,as for amy <unknown> the,as for amy <unknown> the comedian recently made headlines when dozens of audience members walked,agree,agree
570,25213,madonna jokes about offering <unknown> sex to <unknown> clinton voters     ,if you vote for <unknown>,if you vote for <unknown> clinton madonna told the crowd at madison square garden i,agree,agree
571,25214,madonna jokes about offering <unknown> sex to <unknown> clinton voters     ,<unknown> im not a tool,i not a <unknown> im not a tool i take my time she continued much,agree,agree
572,25215,madonna jokes about offering <unknown> sex to <unknown> clinton voters     ,time with the act and,madonna <unknown> that she would take my time with the act and further commented on,agree,agree
573,25227,cracking up debunking the eggs as bad as <unknown> myth     ,of the <unknown> limitations including,the uks national health service points out some of the <unknown> limitations including  ,agree,agree
574,25229,<unknown> fat the forbidden food you should never stop eating     ,fat and whether it is,this article takes a detailed look at <unknown> fat and whether it is good or,agree,agree
575,25233,<unknown> fat do n't believe the big fat lie      ,fat and cholesterol to <unknown>,feeding high <unknown> of fat and cholesterol to <unknown> like rats and dogs does not,agree,agree
576,25234,<unknown> fat do n't believe the big fat lie      ,<unknown> <unknown> and three fatty,each fat <unknown> is made of one <unknown> <unknown> and three fatty <unknown> which can,agree,agree
577,25238,everyone was wrong <unknown> fat can be good for you     ,decided to promote the fat,<unknown> and <unknown> decided to promote the fat as a healthier <unknown> <unknown>  ,agree,agree
578,25239,everyone was wrong <unknown> fat can be good for you     ,fat and whether it is,this article takes a detailed look at <unknown> fat and whether it is good or,agree,agree
579,25253,high intensity training does more harm than good raising the risk of cancer and heart,form of exercise the <unknown>,but if a person isnt accustomed to this form of exercise the <unknown> could be,agree,agree
580,25266,scoop trump tells <unknown> us will quit paris climate deal     ,to air on cbs sunday,speaking of uncertainty in a face the nation interview set to air on cbs sunday,agree,agree
581,25267,scoop trump tells <unknown> us will quit paris climate deal     ,announce he is pulling the,trump could announce he is pulling the us from the deal which would trigger a,agree,agree
582,25269,scoop trump tells <unknown> us will quit paris climate deal     ,'s <unknown> venting and <unknown>,the clean power plan the bureau of land management 's <unknown> venting and <unknown> regulation,agree,agree
583,25272,for president trump pulling out of paris is the only logical move   ,to air on cbs sunday,speaking of uncertainty in a face the nation interview set to air on cbs sunday,agree,agree
584,25289,donald trump walks back campaign pledges on another issue climate change    ,degrees <unknown> or <number> degrees,it also contains an even more stringent target of <number> degrees <unknown> or <number> degrees,agree,agree
585,25303,fake news wapo made-up <unknown> request for permanent back channel communication with russia  ,way to <unknown> <unknown> discussions,<unknown> suggested the use of russian diplomatic facilities as a way to <unknown> <unknown> discussions,agree,agree
586,25330,health risks of genetically modified foods         ,    ,              ,agree,agree
587,25334,<number> <unknown> studies proving gmos can be <unknown> to human health    ,    ,              ,agree,agree
588,25336,<number> <unknown> studies proving gmos can be <unknown> to human health    ,ever tells you that we,if anybody ever tells you that we know with one hundred percent certainty that gmos,agree,agree
589,25340,<number> studies proving gmos are <unknown> not if science matters     ,presented just a bit of,below ive presented just a bit of information to get you started on your research,disagree,disagree
590,25349,<unknown> staffer seth rich did not send thousands of e-mails to <unknown> before he was,begging right-wing news outlets to,<unknown> family has been begging right-wing news outlets to stop spreading unfounded rumors about him,agree,agree
591,25357,the bonkers seth rich conspiracy theory explained        ,senseless act of violence seth,seth rich was murdered in a senseless act of violence seth rich worked in democratic,agree,agree
592,25359,climate change is not a hoax ask any <unknown> seeing it firsthand   ,records going back to the,in addition to <unknown> records going back to the <unknown> there is a large amount,agree,agree
593,25364,is climate change real and is the world actually getting <unknown>    ,claimed the lives of numerous,ironically the famously <unknown> northwest passage which claimed the lives of numerous <unknown> trying to,agree,agree
594,25370,<number> things you need to know about the climate change hoax    ,<unknown> scandal chris horner of,since this occurred at around the same time as the <unknown> scandal chris horner of,agree,agree
595,25372,<number> things you need to know about the climate change hoax    ,last year climate change business,last year climate change business journal calculated that the total annual spend on the climate,agree,agree
596,25376,the fingerprint of global <unknown> doesnt exist in the real world study finds  ,<unknown> released its <unknown> <unknown>,when <unknown> released its <unknown> <unknown> finding in <number> it used three lines of evidence,agree,agree
597,25381,climate change the hoax that costs us <number> billion a day    ,observations from <unknown> weather <unknown>,researchers analyzed temperature observations from <unknown> weather <unknown> weather stations and <unknown> and found the,agree,agree
598,25382,climate change the hoax that costs us <number> billion a day    ,last year climate change business,last year climate change business journal calculated that the total annual spend on the climate,agree,agree
599,25401,why <unknown> failed            ,first glance its hard to,at first glance its hard to see why this piece of news is worth worrying,agree,agree
